ano,mes,id_ur,ebdi,altas,bajas
2019, DIC,17,467,0,0
2019, DIC,17,523,0,0
2019, DIC,17,552,0,0
2019, DIC,17,464,0,0
2019, DIC,17,541,1,0
2019, DIC,25,325,0,0
2019, DIC,93,117,0,0
2019, DIC,93,118,0,0
2019, DIC,1,92,0,0
2019, DIC,1,102,0,0
2019, DIC,20,400,0,0
2019, DIC,20,432,1,0
2019, DIC,8,64,0,0
2019, DIC,1,21,0,0
2019, DIC,1,250,0,0
2019, DIC,1,352,0,0
2019, DIC,1,404,0,0
2019, DIC,1,468,0,0
2019, DIC,24,36,1,0
2019, DIC,1,569,0,0
2019, DIC,1,568,0,0
2019, DIC,1,548,0,0
2019, DIC,1,479,0,0
2019, DIC,1,470,0,0
2019, DIC,1,360,0,0
2019, DIC,1,251,0,0
2019, DIC,16,428,0,1
2019, DIC,2,60,0,0
2019, DIC,3,61,0,0
